STORE_CODE,ITEM_CODE,ITEM_NAME,SALES_PRICE,DISC_PRICE,DIVISION,DEPARTMENT,CLASS,SUBCLASS,PROMO_START_DATE,PROMO_END_DATE
084,101002007974                  ,KITKAT CHOCOLATE 4F 35GR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,15000,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,02-02-001-CHOCOLATE BLOCK                                                                                                                                                                               ,        ,        
084,101002008209                  ,CADBURY BLACKFOREST 62GR/57GR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,25000,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,02-02-001-CHOCOLATE BLOCK                                                                                                                                                                               ,        ,        
084,101002054271                  ,SACRED CACAO THE GOOD OLD CLAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,93500,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,01-02-001-CHOCOLATE CANDY                                                                                                                                                                               ,        ,        
084,101002055437                  ,SACRED CACAO HAZELNUT BUTTER 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,93500,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,01-02-001-CHOCOLATE CANDY                                                                                                                                                                               ,        ,        
084,101002062049                  ,SACRED CACAO 75% DARK & NIBS 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,93500,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,01-02-001-CHOCOLATE CANDY                                                                                                                                                                               ,        ,        
084,101002068903                  ,XYLITOL COOL MINT 58GR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,22000,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,01-001-CANDY                                                                                                                                                                                            ,04-01-001-CHEWING GUM                                                                                                                                                                                   ,        ,        
084,101002074918                  ,DARK WONDER 47% SMOOTH DARK CH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,24000,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,05-02-001-BAR                                                                                                                                                                                           ,        ,        
084,101002078555                  ,SACRED CACAO COFFEE TOFFEE HON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,93500,0,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,01-02-001-CHOCOLATE CANDY                                                                                                                                                                               ,        ,        
084,101002084069                  ,PEPITO JUNGLEGOLD CHOCOLATE MI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,155000,150000,01-FOOD                                                                                             ,001-CONFECTIONARY                                                                                   ,02-001-CHOCOLATE                                                                                                                                                                                        ,04-02-001-CHOCOLATE GIFT PARCE                                                                                                                                                                          ,16 Aug  ,31 Aug  
084,101003005033                  ,FRENCH FRIES PREMIUM 68GR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,10500,17000,01-FOOD                                                                                             ,002-BISCUIT&SNACKS                                                                                  ,02-002-SNACKS                                                                                                                                                                                           ,01-02-002-CHIPS                                                                                                                                                                                         ,16 Aug  ,31 Aug  
