STORE_CODE,ITEM_CODE,ITEM_NAME,DIVISION,DEPARTMENT,CLASS,SUBCLASS,SOH
084,101016053544                  ,DUCK LEG KG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,02-FRESH                                                                                            ,015-POULTRY                                                                                         ,02-015-DUCK                                                                                                                                                                                             ,02-02-015-PRE-CUT DUCK                                                                                                                                                                                  ,0.0
084,101010000589                  ,RED BULL ENERGI DRINK REG CAN 4.S 250ML                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,01-FOOD                                                                                             ,009-ALCOHOL FREE                                                                                    ,13-009-ENERGY DRINK                                                                                                                                                                                     ,01-13-009-ENERGY DRINK                                                                                                                                                                                  ,0.0
084,101010000589                  ,RED BULL ENERGI DRINK REG CAN 4.S 250ML                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,01-FOOD                                                                                             ,009-ALCOHOL FREE                                                                                    ,13-009-ENERGY DRINK                                                                                                                                                                                     ,01-13-009-ENERGY DRINK                                                                                                                                                                                  ,0.0
084,101023035153                  ,CELERY STICK IMPORT RRC KG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,02-FRESH                                                                                            ,022-VEGETABLE                                                                                       ,02-022-ROOTS                                                                                                                                                                                            ,04-02-022-IMPORT GROWERS                                                                                                                                                                                ,0.0
084,101010000589                  ,RED BULL ENERGI DRINK REG CAN 4.S 250ML                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,01-FOOD                                                                                             ,009-ALCOHOL FREE                                                                                    ,13-009-ENERGY DRINK                                                                                                                                                                                     ,01-13-009-ENERGY DRINK                                                                                                                                                                                  ,0.0
084,101024011715                  ,STRAWBERRY 250GR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,02-FRESH                                                                                            ,023-FRUIT                                                                                           ,01-023-FRUIT                                                                                                                                                                                            ,01-01-023-LOCAL GROWERS                                                                                                                                                                                 ,0.0
084,101010000589                  ,RED BULL ENERGI DRINK REG CAN 4.S 250ML                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,01-FOOD                                                                                             ,009-ALCOHOL FREE                                                                                    ,13-009-ENERGY DRINK                                                                                                                                                                                     ,01-13-009-ENERGY DRINK                                                                                                                                                                                  ,0.0
084,101023030069                  ,GOLDEN LEAF BABY SPINACH ENGLISH 150GR                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,02-FRESH                                                                                            ,022-VEGETABLE                                                                                       ,01-022-LEAFY                                                                                                                                                                                            ,02-01-022-LOCAL ORGANIC GROWER                                                                                                                                                                          ,0.0
084,101003080735                  ,MARTIRELO ROASTED PAPRIKA POTATO CRISPS 120 GR                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,01-FOOD                                                                                             ,002-BISCUIT&SNACKS                                                                                  ,02-002-SNACKS                                                                                                                                                                                           ,01-02-002-CHIPS                                                                                                                                                                                         ,0.0
084,101024011729                  ,KIWI GOLDEN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,02-FRESH                                                                                            ,023-FRUIT                                                                                           ,01-023-FRUIT                                                                                                                                                                                            ,03-01-023-IMPORT GROWERS                                                                                                                                                                                ,0.0
084,101010000589                  ,RED BULL ENERGI DRINK REG CAN 4.S 250ML                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,01-FOOD                                                                                             ,009-ALCOHOL FREE                                                                                    ,13-009-ENERGY DRINK                                                                                                                                                                                     ,01-13-009-ENERGY DRINK                                                                                                                                                                                  ,0.0
